issue_id	path	collections	ext	name	series_name	volume	year	issue_no	confidence
59	/Volumes/Backup Plus/Comics/Batman/01. Batman (Ultimate Collection Part 2) GetComics.INFO/Batman-Huntress/Batman-Huntress - Cry For Blood (001 - 006) (2000) (DeadmanWade-DCP)/Batman Huntress Cry For Blood 004 (2000-07) (DeadmanWade-DCP) (digital).cbr	['Batman-Huntress - Cry For Blood (001 - 006) (2000) (DeadmanWade-DCP)', 'Batman-Huntress', '01. Batman (Ultimate Collection Part 2) GetComics.INFO', 'Batman']	cbr	Batman Huntress Cry For Blood 004	Batman Huntress Cry For Blood	-1	2000	4	0	75
60	/Volumes/Backup Plus/Comics/Batman/01. Batman (Ultimate Collection Part 2) GetComics.INFO/Batman-Huntress/Batman-Huntress - Cry For Blood (001 - 006) (2000) (DeadmanWade-DCP)/Batman Huntress Cry For Blood 005 (2000-08) (DeadmanWade-DCP) (digital).cbr	['Batman-Huntress - Cry For Blood (001 - 006) (2000) (DeadmanWade-DCP)', 'Batman-Huntress', '01. Batman (Ultimate Collection Part 2) GetComics.INFO', 'Batman']	cbr	Batman Huntress Cry For Blood 005	Batman Huntress Cry For Blood	-1	2000	5	0	75
61	/Volumes/Backup Plus/Comics/Batman/01. Batman (Ultimate Collection Part 2) GetComics.INFO/Batman-Huntress/Batman-Huntress - Cry For Blood (001 - 006) (2000) (DeadmanWade-DCP)/Batman Huntress Cry For Blood 006 (2000-09) (DeadmanWade-DCP) (digital).cbr	['Batman-Huntress - Cry For Blood (001 - 006) (2000) (DeadmanWade-DCP)', 'Batman-Huntress', '01. Batman (Ultimate Collection Part 2) GetComics.INFO', 'Batman']	cbr	Batman Huntress Cry For Blood 006	Batman Huntress Cry For Blood	-1	2000	6	0	75
62	/Volumes/Backup Plus/Comics/Batman/01. Batman (Ultimate Collection Part 2) GetComics.INFO/Batman-Huntress/Batman-Huntress - Cry For Blood (001 - 006) (2000) (DeadmanWade-DCP)/Batman Huntress Cry For Blood 003 (2000-06) (DeadmanWade-DCP) (digital).cbr	['Batman-Huntress - Cry For Blood (001 - 006) (2000) (DeadmanWade-DCP)', 'Batman-Huntress', '01. Batman (Ultimate Collection Part 2) GetComics.INFO', 'Batman']	cbr	Batman Huntress Cry For Blood 003	Batman Huntress Cry For Blood	-1	2000	3	0	75
63	/Volumes/Backup Plus/Comics/Batman/01. Batman (Ultimate Collection Part 2) GetComics.INFO/Batman-Huntress/Batman-Huntress - Cry For Blood (001 - 006) (2000) (DeadmanWade-DCP)/Batman Huntress Cry For Blood 001 (2000-04) (DeadmanWade-DCP) (digital).cbr	['Batman-Huntress - Cry For Blood (001 - 006) (2000) (DeadmanWade-DCP)', 'Batman-Huntress', '01. Batman (Ultimate Collection Part 2) GetComics.INFO', 'Batman']	cbr	Batman Huntress Cry For Blood 001	Batman Huntress Cry For Blood	-1	2000	1	0	75
64	/Volumes/Backup Plus/Comics/Batman/01. Batman (Ultimate Collection Part 2) GetComics.INFO/Batman-Huntress/Batman-Huntress - Cry For Blood (001 - 006) (2000) (DeadmanWade-DCP)/Batman Huntress Cry For Blood 002 (2000-05) (DeadmanWade-DCP) (digital).cbr	['Batman-Huntress - Cry For Blood (001 - 006) (2000) (DeadmanWade-DCP)', 'Batman-Huntress', '01. Batman (Ultimate Collection Part 2) GetComics.INFO', 'Batman']	cbr	Batman Huntress Cry For Blood 002	Batman Huntress Cry For Blood	-1	2000	2	0	75
65	/Volumes/Backup Plus/Comics/Batman/01. Batman (Ultimate Collection Part 2) GetComics.INFO/Batman-Catwoman/The Batman - Cool Cat (2006) (c2c) (getfreedregs).cbr	['Batman-Catwoman', '01. Batman (Ultimate Collection Part 2) GetComics.INFO', 'Batman']	cbr	The Batman - Cool Cat	The Batman - Cool Cat	-1	2006	1	0	0
66	/Volumes/Backup Plus/Comics/Batman/01. Batman (Ultimate Collection Part 2) GetComics.INFO/Batman-Catwoman/Batman-Catwoman - Follow the Money 01 (2011) (Minutemen-Castalia).cbz	['Batman-Catwoman', '01. Batman (Ultimate Collection Part 2) GetComics.INFO', 'Batman']	cbz	Batman - Catwoman - Follow the Money 01	Batman - Catwoman - Follow the Money	-1	2011	1	0	75
67	/Volumes/Backup Plus/Comics/Batman/01. Batman (Ultimate Collection Part 2) GetComics.INFO/Batman-Catwoman/Batman-Catwoman - Trail of the Gun (001-002) (2004) (Digital) (ZoneKing-Empire)/Batman-Catwoman - Trail of the Gun 02 (of 2) (2004) (Digital) (ZoneKing-Empire).cbr	['Batman-Catwoman - Trail of the Gun (001-002) (2004) (Digital) (ZoneKing-Empire)', 'Batman-Catwoman', '01. Batman (Ultimate Collection Part 2) GetComics.INFO', 'Batman']	cbr	Batman - Catwoman - Trail of the Gun 02 (of 2)	Batman - Catwoman - Trail of the Gun	-1	2004	2	0	100
68	/Volumes/Backup Plus/Comics/Batman/01. Batman (Ultimate Collection Part 2) GetComics.INFO/Batman-Catwoman/Batman-Catwoman - Trail of the Gun (001-002) (2004) (Digital) (ZoneKing-Empire)/Batman-Catwoman - Trail of the Gun 01 (of 2) (2004) (Digital) (ZoneKing-Empire).cbr	['Batman-Catwoman - Trail of the Gun (001-002) (2004) (Digital) (ZoneKing-Empire)', 'Batman-Catwoman', '01. Batman (Ultimate Collection Part 2) GetComics.INFO', 'Batman']	cbr	Batman - Catwoman - Trail of the Gun 01 (of 2)	Batman - Catwoman - Trail of the Gun	-1	2004	1	0	100
